keyword,Type,Values,Description,Mandatory
RSTFLE,text,“restart” or “norestart”,instructs PEST whether to write restart data,required
PESTMODE,text,“estimation prediction regularization pareto”,PEST’s mode of operation,required
NPAR,integer,greater than zero,number of parameters,required
NOBS,integer,greater than zero,number of observations,required
NPARGP,integer,greater than zero,number of parameter groups,required
NPRIOR,integer,any integer value,absolute value is number of prior information equations. Negative value indicates supply of prior information in indexed format,required
NOBSGP,integer,greater than zero,number of observation groups,required
MAXCOMPDIM,integer,zero or greater,number of elements in compressed Jacobian matrix,optional
NTPLFLE,integer,greater than zero,number of template files,required
NINSFLE,integer,greater than zero,number of instruction files,required
PRECIS,text,“single” or “double”,format for writing parameter values to model input files,required
DPOINT,text,“point” or “nopoint”,omit decimal point in parameter values if possible,required
NUMCOM,integer,greater than zero,number of command lines used to run model,optional
JACFILE,integer,0  1 or -1,indicates whether model provides external derivatives file,optional
MESSFILE,integer,zero or one, indicates whether PEST writes PEST-to-model message file,optional
OBSREREF,text,“obsreref” “obsreref_N” or “noobsreref”, activates or de-activates observation re-referencing (with an optional pause after re-referencing runs),optional
RLAMBDA1,real,zero or greater,initial Marquardt lambda,required
RLAMFAC,real,positive or negative but not zero,dictates Marquardt lambda adjustment process,required
PHIRATSUF,real,between zero and one,fractional objective function sufficient for end of current iteration,required
PHIREDLAM,real,between zero and one,termination criterion for Marquardt lambda search,required
NUMLAM,integer,one or greater. Possibly negative with Parallel or BEOPEST,maximum number of Marquardt lambdas to test,required
JACUPDATE,integer,zero or greater,activation of Broyden’s Jacobian update procedure,optional
LAMFORGIVE,text,“lamforgive” or “nolamforgive”,treat model run failure during lambda search as high objective function,optional
DERFORGIVE,text,“derforgive” or “noderforgive”,accommodates model failure during Jacobian runs by setting pertinent sensitivities to zero,optional
RELPARMAX,real,greater than zero,parameter relative change limit,required
FACPARMAX,real,greater than one,parameter factor change limit,required
FACORIG,real,between zero and one,minimum fraction of original parameter value in evaluating relative change,required
IBOUNDSTICK,integer,zero or greater,instructs PEST not to compute derivatives for parameter at its bounds,optional
UPVECBEND,integer,zero or one,instructs PEST to bend parameter upgrade vector if parameter hits bounds,optional
PHIREDSWH,real,between zero and one,sets objective function change for introduction of central derivatives,required
NOPTSWITCH,integer,one or greater,iteration before which PEST will not switch to central derivatives computation,optional
SPLITSWH,real,zero or greater,the factor by which the objective function rises to invoke split slope derivatives analysis until end of run,optional
DOAUI,text,“aui” “auid” or “noaui”,instructs PEST to implement automatic user intervention,optional
DOSENREUSE,text,“senreuse” or “nosenreuse”,instructs PEST to reuse parameter sensitivities,optional
BOUNDSCALE,text,“boundscale” or “noboundscale”,parameters are scaled by the inter-bounds interval if using singular value decomposition  LSQR or SVDA,optional
NOPTMAX,integer,-2 -1 0 or any number greater than zero,number of optimization iterations,required
PHIREDSTP,real,greater than zero,relative objective function reduction triggering termination,required
NPHISTP,integer,greater than zero,number of successive iterations over which PHIREDSTP applies,required
NPHINORED,integer,greater than zero,number of iterations since last drop in objective function to trigger termination,required
RELPARSTP,real,greater than zero,maximum relative parameter change triggering termination,required
NRELPAR,integer,greater than zero,number of successive iterations over which RELPARSTP applies,required
PHISTOPTHRESH,real,zero or greater,objective function threshold triggering termination,optional
LASTRUN,integer,zero or one,instructs PEST to undertake (or not) final model run with best parameters,optional
PHIABANDON,real,a positive number or name of a file,objective function value at which to abandon optimization process or filename containing abandonment schedule,optional
ICOV,integer,zero or one,record covariance matrix in matrix file,required
ICOR,integer,zero or one,record correlation coefficient matrix in matrix file,required
IEIG,integer,zero or one,record eigenvectors in matrix file,required
IRES,integer,zero or one,record resolution data,optional
JCOSAVE,text,“jcosave” or “nojcosave”,save best Jacobian file as a JCO file - overwriting previously saved files of the same name as the inversion process progresses,optional
VERBOSEREC,text,“verboserec” or “noverboserec”,if set to “noverboserec” parameter and observation data lists are omitted from the run record file,optional
JCOSAVEITN,text,“jcosaveitn” or “nojcosaveitn”,write current Jacobian matrix to iteration-specific JCO file at the end of every optimization iteration,optional
REISAVEITN,text,“reisaveitn” or “noreisaveitn”,store best-fit residuals to iteration-specific residuals file at end of every optimization iteration,optional
PARSAVEITN,text,“parsaveitn” or “noparsaveitn”,store iteration specific parameter value files,optional
PARSAVERUN,text,“parsaverun” or “noparsaverun”,store run specific parameter value files,optional
